Region,Country,State/Province,Standard of Living,Cost of Living (Index),Income Tax Rate (%),GNH,GDP (in USD Trillions),Average Income (USD),Employment Rate (%),"Crime Rate (per 100,000)",No. of Unicorns,Population (millions),Life Expectancy (years),Internet Penetration (%),Literacy Rate (%),Healthcare Quality Index,Education Index,Public Debt (% of GDP),Urbanization Rate (%),Renewable Energy Usage (%),Inflation Rate (%),Average Temperature (°C),Freedom of Press Index,Foreign Direct Investment (USD Billions),Median Age,Education Index.1,Poverty Rate (%),Military Expenditure (% of GDP),Carbon Emissions (Tonnes per Capita),Renewable Energy (%),Tourism Revenue (Billions USD),Transportation Infrastructure Index,Housing Price Index,Currency Strength (vs USD),Work-Life Balance Score,Average Work Hours per Week,Corruption Index,Political Stability Index,Happiness Index,Innovation Index,Startup Ecosystem Score,Higher Education Enrollment (%),Female Labor Participation (%),Gender Equality Index,Crime Severity Index,Environmental Performance Index,Public Debt (% of GDP).1,Trade Balance (Billions USD),Number of Patents Filed
Oceania,Australia,New South Wales,Very High,56,33.95462005,3.3,4.99,31706,91.920004,420,89,558.2,82.43636134,95.31754085,65.31751151,70,74,46.13415224,88.5153452,39.20360259,2.350443781,-14.46357464,14.83197396,28.3,30.03582177,0.429293532,26.65404843,2.197847842,5.440067455,48.3909062,126.3854406,0.844302988,133.2690644,0.70212207,3.666862418,26.42379629,15.78815108,-1.939029145,6.757257469,8.466026446,4.504866459,23.99370054,27.16340966,0.809431794,8.307109923,58.9994282,256.2520399,-489.7059646,48787
Antarctica,Antarctica,Antarctica,High,138,23.55252076,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,46.93217162,0.320565739,25.67754818,1.461818913,15.68347114,48.78042469,429.8562511,0.498882062,129.3097073,0.686177481,5.226045902,56.79416042,56.21418682,1.620540328,5.136848189,21.19176211,4.36101476,76.59691943,31.95649649,0.252,1.277892752,96.99131062,156.2120673,-77.6072634,35944
South America,Colombia,Bogotá,Medium,51,33.74890157,7.8,22.63,29453,65.10240054,204,85,663.4,54.8392673,51.58683078,55.16771823,62,58,139.7022629,25.96112531,16.18580807,6.476490459,-2.282200218,12.66264514,184.9,27.39583985,0.801420347,46.76056084,5.52659339,12.72512473,82.4162864,214.9173442,0.038944576,74.47158257,1.977716602,1.299495111,28.22004583,47.12761111,1.355273502,7.885198598,49.25104211,6.3136627,79.66662909,18.57808145,0.842175986,6.696509113,9.957638528,124.4303309,-167.6470965,3269
Oceania,Australia,New South Wales,Medium,146,17.49365199,3.9,5.16,57632,77.98012071,246,38,382.9,50.05189728,62.85748598,73.56915164,42,88,45.38828556,56.96539388,29.5205629,4.829238284,3.129954173,21.10611194,145.7,41.13821569,0.574056655,3.697451218,7.166569736,3.903795942,65.47678222,5.069743273,0.359105903,131.1545099,1.278484021,7.605493212,33.67758641,55.25324872,1.225673269,4.490720421,88.93788624,1.464539892,63.69054748,18.01190893,0.792016757,2.925654953,91.69974769,175.9984623,340.6015205,1146
North America,United States,Texas,Low,124,13.00144684,3.2,15.54,77786,62.56017892,16,79,379.5,55.78682697,37.88826586,73.60907665,44,43,47.12761339,63.17759526,48.89266751,12.94945912,-12.83057211,7.290245789,85,23.47745422,0.701196614,27.66582111,9.039690342,8.809661191,71.56630805,399.9505207,0.730525735,102.1922634,1.21993831,6.443301043,54.79099461,85.02784324,-1.27087798,5.353562128,66.31682645,4.908415841,23.12162845,99.42701778,0.616077824,4.185572543,81.78343534,219.8367923,-5.919518652,3346
Europe,Italy,Lombardy,Medium,58,24.80449203,4.2,8.77,47201,51.79694271,354,148,1290.2,73.21439553,26.26847879,80.74312721,78,40,106.4346642,34.85132227,45.30518682,18.02784658,29.27909846,14.18265588,18.1,22.46506245,0.5121496,15.33491217,4.606311123,18.0836418,9.372960924,122.8241488,0.054754438,70.85249606,1.31383708,3.580122091,25.28929754,20.36122601,1.724998611,8.168669815,59.30273514,3.798202851,31.69918494,98.6554372,0.898422366,4.892965795,48.59696861,246.2078016,475.2948578,2734
Africa,South Africa,Gauteng,Low,126,25.61537126,3.4,2.36,79893,76.96930467,461,61,112.3,77.29275307,62.77686519,64.01853894,86,83,44.73543839,59.42974078,11.79427493,0.961480434,0.023081052,6.756152042,167.3,37.30422972,0.638460605,7.622094217,1.917931414,2.725363837,81.94342741,18.34719156,0.247402884,108.1244466,1.856329341,9.304059716,29.58621692,80.94120785,0.824367245,9.91733117,20.01386413,3.445191264,16.76688311,62.01569038,0.381500034,8.428553033,55.82016343,13.34822468,346.6718971,36154
Africa,Kenya,Mombasa,Medium,140,38.94727899,6.8,0.48,22152,56.6330139,110,76,1351.3,73.64740852,83.88369738,90.07801919,58,71,91.21595754,62.26988106,37.68256419,9.512796809,2.10319579,19.38954817,158.4,21.04196611,0.67287957,34.67939672,9.926598304,18.63141579,90.59489191,478.8899468,0.84017684,51.19372066,0.292540901,6.655617815,23.68304251,89.90057166,-2.465071914,3.462067637,29.78040555,7.496100488,29.14485755,45.92667725,0.027996794,2.827794205,58.59195204,279.7774961,136.4318629,39636
South America,Chile,Santiago,High,99,47.47129166,3.5,23.54,56794,50.3103767,278,148,160.6,62.34926702,81.88260974,89.55569723,35,46,115.8692358,96.43626316,40.56153217,11.89062814,9.418674252,29.07965025,7.6,34.36772302,0.031871998,27.37127305,8.35945315,5.027680228,26.74783196,432.3764161,0.598038801,129.3616342,1.860763643,9.11331195,49.26401559,81.8268802,-0.502923458,0.335203814,2.285928606,0.697141598,60.76767468,66.52103842,0.401534021,7.753415664,4.111487618,81.58584548,-486.6351332,9739
Africa,Egypt,Alexandria,High,184,36.64396875,7.4,1.94,78405,62.26077689,164,108,1372.9,83.29759936,71.97396675,80.65693111,71,63,34.56342738,24.3581762,32.58696183,8.85964571,5.340980145,14.32171188,133.1,27.20981496,0.569564889,39.1693451,9.591513891,13.74177592,53.89093189,266.7592438,0.452991415,110.8358811,1.109715906,4.532225456,34.48559404,80.29775999,0.351471055,8.806754063,43.81566096,8.17715399,25.53269812,10.53971357,0.154552719,5.777011213,47.2856545,100.8991778,-261.7410286,20074
Africa,South Africa,Gauteng,High,85,32.58743061,7.5,20.64,11093,80.60557207,132,59,1121.3,81.51463602,30.04158725,51.29522392,51,74,28.33662676,88.90879784,44.50564,7.689464178,35.75760141,21.79235944,44.6,33.05554608,0.442725018,1.290831072,4.964658316,2.760040939,59.97356766,69.70172581,0.413289578,60.36801974,0.132935611,1.43725547,51.93374427,22.69540823,2.376015053,6.113539396,76.55568318,6.081597754,91.98889975,56.24451365,0.898308082,7.18220475,95.50056767,284.1237235,-232.7416684,44421
North America,Canada,Quebec,High,70,11.60430193,7.4,21.02,35909,66.30818722,114,78,669.8,79.53683097,42.9741705,67.96493956,74,75,82.75424117,67.80403518,53.63514208,12.70973735,23.94257687,16.4768835,67.6,20.28588976,0.320140717,6.917675488,9.77299316,15.33243288,84.61758173,190.303173,0.775548071,173.0839107,1.806727853,7.655467903,35.99836452,18.11264414,-2.066827742,8.199243031,49.34063139,6.487475865,94.82469998,81.0924774,0.891611956,6.85817919,54.52804155,137.777949,91.67390204,33014
Antarctica,Antarctica,Antarctica,Medium,73,41.93216693,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,18.43401321,0.131300594,11.0465192,0.212234477,16.23037742,28.77543482,491.2648588,0.957780068,142.3015977,0.782851213,2.409393388,40.89648878,34.6627048,1.287958794,6.639938416,29.91760811,4.297107662,10.73169532,89.19573251,0.433104883,5.062277262,80.49280721,213.8286464,491.4456389,49569
Africa,Kenya,Mombasa,Very High,149,48.60806279,5.2,16.19,28975,51.32825298,99,85,989,53.59995496,48.79533665,56.31856125,72,46,42.67681399,34.5110199,28.26995007,1.796289633,-9.47203017,2.413494656,89.2,23.085976,0.464702078,3.182269152,9.603696852,0.106415803,96.62935513,124.0073841,0.862808116,70.98795766,1.307880702,2.580058414,48.56942973,37.66232238,-1.025339548,3.18245633,47.25096036,1.135897171,23.07868518,13.40466567,0.047912125,0.572334605,64.70229836,93.13736598,-45.60480082,48904
Oceania,New Zealand,Wellington,High,84,28.12790892,7,21.81,41541,99.97159847,200,90,469.2,50.1339849,49.421852,82.78157103,56,41,70.85322934,91.44900354,49.2110812,8.520037725,16.31753233,8.760187335,132.3,38.48433245,0.35001424,23.55267503,5.896314496,0.065671454,47.86499506,206.4724398,0.987849542,100.5761322,1.496309746,5.529866747,30.9043157,74.30949264,1.192948813,9.771294005,43.95992831,0.058905208,43.17094858,71.00891398,0.236961825,8.513900272,12.90185268,296.043114,339.6155521,47090
Europe,United Kingdom,Scotland,High,174,37.32083803,6,23.47,66128,79.67957907,182,142,724.6,57.09986063,64.94044839,56.13525071,41,59,135.786784,59.84148269,45.31321169,10.92967645,39.09945367,0.889655981,142.7,47.29839472,0.38273567,17.20052865,2.168854687,7.952499936,96.17706776,276.267945,0.475896942,104.7679609,1.082777804,7.825546003,36.50499029,50.96931009,-1.691738038,9.315498357,93.20372151,4.700247697,70.7902331,93.92771446,0.262289208,8.456384334,28.82782697,256.5997542,-261.884022,1985
South America,Chile,Valparaíso,High,179,44.9721398,6.1,13.25,67758,91.98345106,429,128,1091.9,65.49821491,25.99513954,89.57731817,65,75,34.40429046,98.52005099,39.90365904,19.87942638,-7.738587072,17.72316456,162,36.88908132,0.087706543,9.523796065,8.344184939,12.15195764,15.41546315,100.4331217,0.711410853,176.2662131,1.932052478,3.244603531,32.80301051,8.474834183,-1.708600621,8.786653248,12.83757887,4.547107505,18.72212736,33.42738968,0.630159913,2.240033773,57.79464834,61.66515406,-182.0266925,37115
Oceania,Fiji,Suva,Medium,108,43.98661155,5.6,20.93,68801,57.0362057,445,23,370.3,61.74678808,71.83660303,75.47576969,52,81,137.9739456,71.28773817,34.31916805,18.15598849,-11.30543699,27.95363707,37.2,35.60527541,0.116594745,47.52772444,5.884492801,14.43418067,3.808842431,448.8853703,0.835542164,181.5563006,0.324524258,5.997069758,55.16132652,91.18889149,1.561896999,5.223172827,30.87254556,3.418238723,21.5297717,16.15696566,0.439634891,3.153287593,9.862594484,34.36477263,-112.3220675,19552
Antarctica,Antarctica,Antarctica,Medium,110,16.64704141,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,26.99113219,0.215126465,0.602891344,2.24237675,9.306335378,38.04787044,272.2742417,0.823730049,167.0119971,0.829230659,2.194577187,40.31816135,13.68813029,-0.357988207,7.83426171,86.77630372,4.534621353,11.86962165,91.17535587,0.991115711,2.000015487,22.30033202,285.7896704,45.73153351,9785
Europe,France,Provence,Medium,152,46.01832216,5.4,15.19,9625,61.6920474,130,65,699.2,74.17063947,88.76397347,97.0649744,58,72,85.86255394,68.70938505,51.55769895,6.143070507,2.508465738,13.57607078,183.8,48.77860468,0.568650752,37.8725033,0.344491675,14.02711162,91.82267601,269.5300956,0.95431287,171.4869568,1.621547389,6.113012051,58.63279027,73.99912077,0.749054548,5.860083663,75.57150327,5.371533689,78.9667799,48.4653964,0.98566633,0.221427479,14.19662745,21.88943544,-324.7357611,37288
Oceania,Australia,New South Wales,Very High,122,13.78505481,7.4,18.79,3598,50.34982306,140,141,837.6,67.3181089,52.59680621,87.91632811,67,62,115.2149338,84.49636478,57.60110424,8.339174065,-12.27297018,28.81920895,177.9,44.04374301,0.769887675,11.49348769,6.726945021,9.939909491,34.44812381,134.3348486,0.124342592,77.17521917,0.525004128,0.573272371,45.53664683,92.53636576,-1.090548176,6.498858737,58.67139721,9.067919358,22.56224458,36.17838349,0.921584923,9.89959063,59.02660229,238.0536237,-216.0688163,10939
Oceania,New Zealand,Wellington,Medium,169,37.36273747,4.4,5.07,10504,70.39726026,421,54,743,54.94331089,95.77449613,96.30347868,59,50,10.66279773,74.60188365,39.24258503,10.94696756,-11.24477335,16.39879064,17.9,20.74430063,0.719080953,37.98530785,4.045803053,6.849758128,63.04055595,389.3855193,0.789257501,144.7721832,0.130897116,2.019359322,40.09874416,93.01713699,2.449107149,4.801842658,4.722131038,7.069669304,84.71205225,55.38430845,0.161854178,5.736406237,38.7439453,212.8218119,23.17043277,18639
Europe,Italy,Lombardy,Medium,187,24.3990618,5.1,19.37,31871,80.3475885,416,132,1033.3,73.01138916,60.3426275,80.66532323,86,84,61.91392424,61.14692267,21.52479149,14.5944305,23.62801717,8.906380566,140.8,37.18365434,0.307210286,44.88119092,2.505044505,14.45803627,92.65499974,251.1688702,0.211755118,116.7195355,1.269042658,6.994821986,33.92432034,75.10647753,1.721662851,3.15402955,92.32848794,6.612618184,48.16360061,34.39649012,0.216209885,0.257295152,26.93773473,99.90636304,380.2756355,20406
Europe,Spain,Andalusia,Medium,102,22.0161393,7.3,15.73,43687,97.10579697,407,132,601.5,53.66589227,38.78967161,85.28705816,75,82,19.07516568,51.56532927,9.747034663,17.30818481,2.586029669,24.0752537,132.9,46.53454172,0.48663155,48.09405338,1.71687505,11.02895981,60.83494118,190.3402291,0.728252404,82.30246359,0.672809863,5.138987025,49.70541653,32.81897481,0.624426011,1.79249442,86.77572818,0.827888669,91.75454743,63.68113313,0.458662904,9.544346773,72.08119501,143.2082328,-215.1784579,34722
Antarctica,Antarctica,Antarctica,Medium,120,32.19471757,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,35.13868327,0.157106684,5.33979621,4.721100556,17.8822072,80.39544138,366.9327527,0.442617605,183.6976385,1.204071858,7.624268853,50.71023095,98.6368081,1.101252246,4.761388915,42.48295094,3.017611401,3.810599704,62.26879913,0.765922461,0.625369423,28.43357054,14.95344628,276.2010699,17156
Europe,United Kingdom,England,Very High,139,13.67866931,4.8,18.78,63588,91.4741314,424,27,1226.7,63.20678268,57.7619322,76.61712645,53,80,25.00185692,55.94646852,14.78650135,3.078181488,14.03410927,18.71645587,9.2,42.68745532,0.521506448,42.90179329,0.593191318,16.07430989,83.03579432,293.3257927,0.389454669,64.65655104,1.80774275,7.288916506,26.95400845,28.85616559,-0.428895695,1.970718449,73.5539111,3.697090706,16.71185968,62.57638709,0.536483822,9.615332542,96.21338722,262.9462296,251.7305943,40143
Oceania,Australia,Victoria,Very High,188,38.94363394,6.9,1.12,14062,75.29948671,239,127,674.6,66.52376089,97.04964987,94.59004119,66,63,130.6993244,98.78111574,21.07721222,16.25610287,35.10265056,7.307275388,188.9,45.81186729,0.221716305,30.24185636,0.277793251,17.92758019,57.54017455,370.0639901,0.235764541,164.2707418,0.624979731,6.869463593,39.16637327,90.93067569,-1.927763827,9.771847497,80.4330582,9.773449444,18.48937617,99.47530216,0.231416708,8.267443813,93.09283265,30.27795816,23.33719839,44548
Africa,Egypt,Alexandria,Low,131,15.92098761,4.7,18.63,42510,78.50634534,17,58,954.8,57.95075233,76.21548374,40.12638544,85,43,21.8983059,73.71630843,26.75304681,9.252456817,30.32730864,18.15633816,25.2,25.33481481,0.510839554,20.44441722,5.542731523,9.802944439,55.26744319,275.8063796,0.570185718,191.1485786,1.252806272,0.285321387,45.96210045,61.71859823,-1.24030385,9.967081206,48.12390469,8.173590445,16.00209223,84.21067366,0.884878197,2.542094963,16.12972225,23.83093323,-144.8125743,22255
Africa,Egypt,Cairo,Low,146,33.70032847,4.2,0.89,6094,95.52493091,33,150,1057.5,78.91541079,73.49459015,82.57628084,81,50,126.234624,92.87434217,24.19696703,13.91744591,35.56253253,2.343334668,68.6,21.95853539,0.959881289,37.49742795,9.236365253,0.034263115,93.55445875,216.4785543,0.826986932,158.4024321,0.231848768,6.858613823,20.74417673,7.43111952,-2.47543659,3.428459658,7.388495352,3.82835822,18.51205425,63.37064834,0.522459612,5.453262852,66.98499452,228.395797,18.43472404,29283
Asia,China,Shanghai,Medium,51,32.19699237,3,17.9,43548,51.98599959,400,72,245.4,63.85767926,61.83913318,50.45340142,65,70,21.78634556,28.9741706,39.49400017,7.114091722,-17.90279706,18.29830546,23.7,44.02594057,0.067373266,49.16897584,1.511295597,9.853343785,78.57596495,482.0670936,0.929889975,162.8547138,1.237943224,1.883305764,25.00929768,41.35993677,0.01815028,8.311009534,34.4462009,7.813486033,1.208396539,27.67277728,0.982061251,6.34349058,60.39517505,104.5077457,26.34036549,6208
North America,Canada,Ontario,High,64,45.97751269,3.6,2.08,49674,69.12522375,88,113,525.7,62.12175774,88.23635674,96.84378455,88,75,133.9655349,44.65394313,33.43051435,3.196807909,27.53057081,14.16790143,16.6,48.92263088,0.8584329,21.43194837,1.200281332,3.353281597,67.85959706,34.97556482,0.142371281,188.9294631,0.704022912,6.320145087,36.32807792,96.58478975,-0.383592485,7.676610739,97.47417318,3.75057032,66.78595633,70.18610002,0.51779604,3.021746827,78.5853735,121.3090021,101.6020753,23723
South America,Chile,Santiago,Low,136,49.90286895,7.5,15.41,17369,73.26952723,271,86,1290.8,73.89809626,83.88075595,55.78799108,74,74,83.36700627,92.72982524,40.76019451,18.60483149,9.970532228,18.8916087,3.3,39.32971365,0.65321685,43.08826108,8.792802321,17.06333259,25.20957649,355.8185136,0.922080908,163.9510889,1.458707947,2.770106348,31.69849051,53.83406811,-1.259067174,0.873996396,13.92115724,5.229913113,47.74371487,97.55682868,0.75183943,4.110530573,1.042164779,190.9528083,-115.836065,25055
Antarctica,Antarctica,Antarctica,Low,177,12.2776391,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,36.60019397,0.03907356,23.41542518,6.995849205,12.3136544,50.85040144,20.53075006,0.059620412,104.4663333,1.473312978,6.665741417,32.07696449,86.64967063,-2.007429856,5.045579799,5.689166167,0.676081466,30.68736288,62.15552838,0.683458692,8.830151154,13.34605505,200.0054348,367.3239928,46959
Oceania,New Zealand,Auckland,Very High,56,19.12275148,3.6,13.83,22865,56.83583277,92,80,694.4,55.48454,77.94264883,92.84786009,30,73,57.73374386,64.08457996,25.27382014,12.66834489,-2.630744817,16.27442819,93.2,39.97693156,0.594644115,2.7465001,4.098280709,5.475933516,82.48442455,79.53464271,0.004663081,157.8907188,1.987814007,7.278441468,49.10271558,35.02880609,0.80636477,7.380648014,49.89895427,8.341635725,32.56090673,82.56125777,0.051078643,5.799187472,30.41585671,165.0479008,155.8364203,19541
Antarctica,Antarctica,Antarctica,Medium,161,35.94801748,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,31.13101343,0.208261397,11.19590969,4.978169791,4.628758741,85.05447562,227.4269107,0.159514411,117.7632036,1.704384663,8.590375566,33.60378453,6.468774204,-0.377971983,3.65228086,54.21462279,4.461203122,44.0258487,14.87622427,0.705589581,7.911166692,73.89773157,80.77199127,415.4511054,4710
North America,Mexico,Jalisco,Low,129,31.54924637,7,7.92,66837,81.18478945,478,127,771.2,51.92203726,85.34760545,89.56073616,69,51,88.67450039,74.63481255,54.79278471,18.58472313,0.064553467,7.867569552,152.7,18.7422836,0.996830088,49.38008936,8.538188362,14.43360029,86.34854875,262.2595177,0.195225109,135.7326831,1.115827165,9.33042962,41.10783726,52.90533937,-2.415803532,2.578044354,77.74411275,0.901962904,37.64560791,29.28946805,0.091407162,4.772881015,37.30139635,242.3910532,461.8740993,45355
Europe,Italy,Tuscany,Low,129,13.0103285,3.6,8.48,31231,99.99026114,336,129,629,70.5503822,83.89619726,52.18914672,41,90,14.23597121,57.3254922,5.706009135,5.940567006,21.18363325,22.02783984,1.4,47.67592089,0.898491652,0.621743928,3.590347909,0.996105879,32.01278939,67.27938959,0.54010829,183.6169875,1.246535486,6.057703732,45.18317054,5.726762976,-0.979287297,5.732964566,69.50095129,3.063389192,92.14929155,84.85204189,0.666508954,4.114065511,49.55491582,289.0556781,117.967765,23255
Antarctica,Antarctica,Antarctica,Very High,157,31.71103773,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,26.58251579,0.269048087,31.38706176,7.392034352,2.333161933,63.34486337,196.0956929,0.71324969,177.1973258,1.332317286,1.015615227,58.47762599,54.563745,-0.735234043,1.928933797,12.76411527,7.466983551,25.33193345,59.18549724,0.832296273,1.327178508,61.07732144,24.12832869,-404.8684291,22285
Europe,Germany,Berlin,Medium,160,21.14117324,7.5,17.06,30357,51.14484042,426,44,791.6,82.515903,30.05882463,66.82770122,69,59,36.92569514,68.36126045,51.70592085,2.053644755,0.32287211,29.54266296,170.4,25.76138864,0.379517622,30.30020544,6.248244338,9.546792879,86.09845591,150.5885692,0.256430944,197.1594855,0.219651252,1.337241016,42.54905756,83.93914382,1.235449976,4.37359261,73.80788755,4.212722474,66.05625567,49.97579119,0.857495576,5.79452245,84.58911761,297.6971853,434.7495915,16619
North America,Canada,Quebec,Low,196,41.55629043,4.5,0.66,41491,77.67772168,371,0,343.4,67.82434078,82.00330825,63.41541316,46,65,67.66718576,42.8541212,43.25796422,14.93152354,30.79748784,21.1581377,192.3,16.26852542,0.694475907,15.78165437,7.250900256,17.90369463,86.94368687,444.8138314,0.088858426,79.09295888,1.001339069,7.30916497,57.54319471,93.43277809,1.677827243,0.289409605,99.09757167,4.183967976,10.68040558,20.33246767,0.860888884,9.777768322,52.48921172,175.5608175,162.8747093,6240
North America,United States,New York,Low,89,17.43087077,3.2,7.26,21070,74.92906518,141,53,255.1,75.57420264,54.72810125,54.51259427,58,46,96.80546999,25.17081331,5.901322336,4.002131913,11.65238374,3.290446149,199,21.4651642,0.381489485,3.871697709,6.618097221,4.88542648,45.11403271,483.4109783,0.830106719,84.5369881,1.991103798,4.497543043,23.76043246,78.43997644,1.356822952,3.436255889,41.47556487,2.142653616,8.184784661,26.04492187,0.347066804,4.761169668,55.58847845,169.889965,280.7386748,49669
Africa,Nigeria,Abuja,High,125,38.24770867,3,22.48,63334,91.08298546,252,47,570.2,80.07719401,90.53160263,61.87043702,34,79,14.57390916,39.4708996,59.52362808,8.682711573,-6.429538103,9.685853343,170.7,39.21524425,0.768245358,20.65731381,4.230601155,0.31814476,51.67796543,361.1001238,0.793122513,99.35743993,1.09644136,6.508606498,36.87869158,0.513031169,-1.365256454,3.724182718,23.49556813,4.51760294,21.05770111,75.57499573,0.787369024,4.835445084,77.03297345,288.6793939,-346.1207826,38812
Antarctica,Antarctica,Antarctica,Medium,182,6.085058731,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,17.41878964,0.005365074,44.81469108,8.27033037,19.00193262,38.00634007,130.3986378,0.563056555,177.9626899,0.925858068,0.162401166,46.9989431,56.59643383,0.357328699,4.737132667,33.43316656,6.736844237,42.1602403,85.93747014,0.46689172,0.674934441,71.3476546,226.7595922,160.378506,39013
Europe,Germany,Berlin,Very High,132,14.33110188,4.9,21.48,50422,79.47326196,479,113,1324.3,55.80879827,74.02821299,64.02351732,65,58,59.49198643,35.5097326,23.12238281,15.80843518,34.85734954,3.251058909,5.1,15.68455095,0.791537645,16.00341873,9.391404808,17.41786097,6.279492416,133.1578933,0.952287903,91.97244266,0.42470916,4.912576078,38.88907916,75.99415309,0.882298274,6.33890507,82.19162831,9.180417147,95.53077898,14.13714685,0.795622808,8.115398,23.24980365,26.32683811,-90.55073899,44269
Africa,Egypt,Cairo,Medium,113,20.18705464,3,21.92,11590,70.00856762,108,138,1123.5,83.31322446,31.26428421,77.61607131,82,90,117.2775707,47.74558179,40.29849214,19.25365459,-5.440114721,29.27793113,43,25.09213759,0.887868543,47.45151579,4.279991471,9.513818473,18.72262126,289.9255901,0.662723398,183.1064455,1.364618542,3.064816357,56.2230829,5.382031852,2.30792364,3.240516743,10.77805504,2.448753346,94.17896427,19.5085793,0.490154095,3.293505958,70.62711166,173.450048,-137.2498268,20030
Oceania,Fiji,Suva,High,168,6.914011219,3.7,12.41,46100,52.60895805,38,15,46.9,58.7452046,59.06415189,80.40833349,73,68,119.2890204,34.2813157,55.18999849,19.34689691,-2.640891241,17.15124237,132.7,17.37579196,0.412363879,0.288881585,6.826453051,13.79149855,28.52459488,198.9979952,0.983244347,144.0687253,0.943666942,2.797810292,37.04858012,33.74773109,2.072977415,5.969200493,71.77151039,9.286614733,70.48508099,19.4210079,0.91455975,2.411638049,50.62227867,60.97642266,47.37262276,31719
Antarctica,Antarctica,Antarctica,High,92,48.56499058,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50,0,0,42.82470538,0.70407743,4.892152998,0.953162808,2.202964509,8.872268486,375.8599118,0.322839445,165.2016436,0.436429592,8.595909688,59.1975335,26.73373983,-0.947880635,6.511966136,4.119631485,3.60614557,11.66951647,14.72040233,0.317376134,3.985552271,65.11104272,204.2930491,276.483157,19737
North America,Mexico,Mexico City,Low,117,35.9115923,4.6,3.9,44248,86.54888421,457,59,439.4,71.8652938,39.8622955,87.46599805,44,72,14.49502143,65.88973863,21.39110709,6.252742183,3.933436669,8.631494424,150.7,37.03316726,0.509404787,9.328807605,4.142233635,12.23103633,55.42175846,281.8360997,0.385119991,175.7656247,1.809203092,5.955394155,41.60668095,29.58927228,2.442624628,4.921690715,50.57427026,6.572520314,20.06558833,43.03428075,0.078250866,5.257942179,71.2918314,211.8083075,-5.26733232,3628
Oceania,New Zealand,Auckland,Medium,92,9.663748623,5,5.23,13013,58.78484996,205,14,944.6,55.79189619,82.94616635,50.12421491,49,80,120.0509628,97.79359222,13.36344859,10.87897814,-0.554430287,24.89407991,196.5,17.8457408,0.072094918,21.09297568,5.82421531,15.77971555,65.07290841,16.01310094,0.319943487,187.8683381,0.69913195,1.957103922,54.44108317,85.98135278,2.117866203,9.139984668,73.95212922,1.635738656,66.4087184,28.17572911,0.47474303,6.338860093,71.10095101,31.65619195,438.3557899,33393
Oceania,Fiji,Suva,Medium,148,16.89369769,7.9,4.86,72892,83.79692595,391,95,813,83.73639983,82.65136059,93.63672239,55,90,64.45192831,71.01565807,19.02195196,5.54046788,12.83378712,29.7471766,1.9,18.05751589,0.295317037,19.26609779,0.342413981,18.39485782,21.33070165,399.8736811,0.229788626,169.0410928,0.440780787,4.658570904,28.51564226,87.73235096,0.097309109,9.683071264,62.54670242,6.333495667,57.17653697,81.78634614,0.974777668,9.933305278,85.5125658,109.3650961,415.029189,6594
Asia,South Korea,Seoul,Low,88,32.95271265,3.5,11.4,7480,59.9392151,116,52,890.6,72.17233347,80.01968909,65.17107207,45,90,20.48229684,54.77589268,19.71082204,12.16561822,22.22379747,15.22348238,110.2,21.52414274,0.406340314,36.84985693,8.658100932,15.15973988,52.60476131,18.7624381,0.844374798,153.3521414,1.102525357,0.946536223,31.6867451,62.70523436,-2.423410875,8.181569348,39.36356739,8.086679204,68.00242436,88.96068606,0.984872715,4.398042688,31.82548344,123.1954506,185.8807357,45997
Europe,Spain,Catalonia,Medium,177,39.40075843,3.6,8.44,34805,82.54583231,416,28,196.4,58.20535046,70.29150788,73.25849683,55,76,74.40340717,62.54442765,43.86291643,5.699693479,38.43776821,12.67234264,62.3,18.827751,0.641835929,27.12632266,4.230521801,17.96964106,32.98963752,458.034649,0.007571794,106.788105,0.464463855,4.361230305,57.1599477,42.0410922,-2.174164566,8.326096181,3.67975237,2.556093292,37.78258315,91.56404079,0.993780048,4.919579263,94.56730256,256.5454068,280.5000792,49206
Asia,China,Guangdong,Very High,65,48.21881056,5.3,7.85,35501,51.1909391,279,40,163,77.42558996,28.434215,40.57960282,48,75,96.24099578,35.96808373,5.642429376,4.605899236,-14.70565264,13.06573953,80,43.3563632,0.314137151,46.99505875,8.768995012,19.6535911,19.51724137,414.3693193,0.476896651,95.20406247,1.889161008,6.303860752,41.53734596,76.07366812,-1.823409726,7.697363007,19.65840636,6.658424256,28.41589301,24.83325213,0.02630494,2.85901041,19.64317575,264.7595814,-111.2223246,20895
